num,corner,vdd,temp,gbw,pm,av0p1hz,cmrr0p1hz,psrr0p1hz,idd,vos
0,mos_tt,3.3,25,2.67832E+06,59.339,103.128,86.5738,64.2017,-0.000176588,-0.00136378
1,mos_ss,3.0,-40,3.21327E+06,57.9503,103.592,84.2935,66.7552,-0.000172883,-0.00127552
2,mos_ff,3.0,-40,3.43317E+06,57.2804,108.717,85.5836,67.2041,-0.000178548,-0.00110563
3,mos_sf,3.0,-40,3.29537E+06,57.8088,104.973,84.4392,66.9006,-0.00017544,-0.00124374
4,mos_fs,3.0,-40,3.35636E+06,57.3511,106.986,85.4615,67.1201,-0.000175942,-0.00114903
5,mos_ss,3.0,85,2.13029E+06,60.751,98.1137,84.2622,64.7528,-0.000167427,-0.00184585
6,mos_ff,3.0,85,2.27904E+06,59.885,101.741,85.3068,65.1154,-0.000171379,-0.00177117
7,mos_sf,3.0,85,2.18995E+06,60.5038,99.3252,84.0964,64.8094,-0.000169178,-0.00190181
8,mos_fs,3.0,85,2.22232E+06,60.0862,100.351,85.4897,65.0498,-0.000169598,-0.00173626
9,mos_ss,3.6,-40,3.28386E+06,58.1615,105.166,88.9397,63.573,-0.000184209,-0.000947051
10,mos_ff,3.6,-40,3.50208E+06,57.5016,113.941,89.047,63.0747,-0.000189998,-0.000774384
11,mos_sf,3.6,-40,3.36557E+06,58.0167,107.297,88.7305,63.0195,-0.000186759,-0.000905916
12,mos_fs,3.6,-40,3.42543E+06,57.5769,109.573,89.2014,63.6957,-0.000187364,-0.000829555
13,mos_ss,3.6,85,2.17544E+06,60.8546,99.9227,88.7244,59.6996,-0.00017623,-0.00138437
14,mos_ff,3.6,85,2.32385E+06,60.0136,108.024,88.6259,59.1113,-0.000180429,-0.00128763
15,mos_sf,3.6,85,2.23519E+06,60.6164,102.253,88.2278,59.0714,-0.000178092,-0.00141412
16,mos_fs,3.6,85,2.26682E+06,60.2072,103.512,89.0626,59.7646,-0.000178505,-0.00128205
